('sid', 'name', 'tel', 'wifi')
('42', '馬偕門市', '02-2511-6691', 'Y')
('43', '站前門市', '02-2381-8993', 'Y')
('44', '重慶門市', '02-2371-3336', 'Y')
('45', '美麗華門市', '02-2175-3190', 'Y')
('46', '科教門市', '02-2833-6976', 'N')
('47', '政大門市', '02-8661-6613', 'Y')
('48', '建和門市', '02-2363-9331', 'Y')
('49', '南園門市', '02-2785-0096', 'N')
('50', '南港門市', '02-2655-1456', 'Y')
('51', '南海門市', '02-2396-0860', 'N')
('52', '南東門市', '02-2516-3186', 'Y')
('53', '南西門市', '02-2556-6810', 'Y')
('54', '武昌門市', '02-2381-5299', 'N')
('55', '松壽門市', '02-8780-8772', 'Y')
('56', '松江門市', '02-2564-2790', 'Y')
('57', '松安門市', '(02)2517-3150', 'N')
('58', '松仁門市', '02-2723-1486', 'Y')
('59', '林森門市', '02-2542-8870', 'N')
('60', '杭州門市', '02-2393-0139', 'N')
('61', '忠誠門市', '02-2873-5815', 'Y')
('62', '南山門市', '02-8786-7793', 'Y')
('63', '忠新門市', '02-2395-7870', 'Y')
('64', '和平門市', '02-2369-4200', 'Y')
('65', '京華門市', '02-8761-6614', 'Y')
('66', '京祥門市', '02-2749-1070', 'Y')
('67', '辛亥門市', '02-2738-5799', 'Y')
('68', '101門市', '02-8101-8126', 'Y')
('69', '三民門市', '02-2767-6603', 'Y')
('70', '士林門市', '02-2880-7805', 'Y')
('71', '士捷門市', '02-2883-1657', 'Y')
('72', '大直門市', '02-8502-1756', 'Y')
('73', '中山門市', '02-2586-9568', 'Y')
('74', '仁愛門市', '02-2709-6768', 'Y')
('75', '六福門市', '02-2547-5816', 'Y')
('76', '公館門市', '02-2368-5629', 'Y')
('77', '世貿門市', '02-2720-3568', 'Y')
('78', '北寧門市', '02-2570-6312', 'Y')
('79', '北榮門市', '02-2873-1739', 'N')
('80', '北醫門市', '02-2732-8509', 'N')
('81', '台視門市', '02-2579-3016', 'Y')
('82', '民生門市', '02-2712-0428', 'Y')
('83', '民東門市', '02-2713-6970', 'N')
('84', '民權門市', '02-2504-4751', 'Y')
('85', '永春門市', '02-2742-5909', 'Y')
('86', '石牌門市', '02-2827-7832', 'Y')
('87', '仰德門市', '02-2861-7038', 'Y')
('88', '光明門市', '02-2898-1051', 'Y')
('89', '光華門市', '02-2396-7829', 'Y')
('90', '統領門市', '02-8771-0612', 'Y')
('91', '宏泰門市', '02-2719-2682', 'Y')
('92', '地捷門市', '02-8773-1608', 'Y')
('93', '西湖門市', '02-2627-6027', 'Y')
('94', '巨蛋門市', '02-2578-1489', 'Y')
('95', '文化門市', '02-2602-5026', 'N')
('96', '頂溪門市', '02-2928-4020', 'Y')
('97', '新店門市', '02-8911-0996', 'Y')
('98', '新莊門市', '(02)2998-4957', 'Y')
('99', '新中門市', '02-8919-9008', 'Y')
('100', '雙和門市', '02-8231-5476', 'Y')
('101', '環球門市', '02-3234-0635', 'Y')
('102', '慈濟門市', '02-8219-2279', 'Y')
('103', '湯城門市', '02-2278-9975', 'Y')
('104', '淡水門市', '02-2625-5399', 'Y')
('105', '河岸門市', '02-2625-3320', 'Y')
('106', '板雙門市', '02-2253-1610', 'Y')
('107', '板橋門市', '02-8952-3190', 'Y')
('108', '板中門市', '02-2963-5728', 'Y')
('109', '東科門市', '02-2696-1269', 'Y')
('110', '亞東門市', '02-8967-6556', 'Y')
('111', '竹圍門市', '02-8809-7355', 'Y')
('112', '竹林門市', '02-2921-2560', 'Y')
('113', '立言門市', '(02)2226-1773', 'N')
('114', '北新門市', '02-2910-6121', 'Y')
('115', '中科門市', '02-8226-3573', 'Y')
('116', '土城門市', '02-8273-2039', 'N')
('117', '三重門市', '(02)2984-5409', 'N')
('118', '二重門市', '(02)8512-4050', 'N')
('119', '內壢門市', '03-461-1770', 'Y')
('120', '大江門市', '03-468-0130', 'Y')
('121', '中壢門市', '03-427-9651', 'Y')
('122', '台茂門市', '03-311-2960', 'N')
('123', '桃愛門市', '03-378-0838', 'N')
('124', '桃興門市', '03-301-6316', 'Y')
('125', '航空門市', '03-3833828', 'N')
('126', '航站門市及航廈門市', '03-383-4727', '')
('127', '崇壢門市', '03-280-5420', 'N')
('128', '復興門市', '03-280-4279', 'Y')
('129', '經國門市', '03-346-6137', 'N')
('130', '桃遠門市', '03-332-1938', 'N')
('131', '廣達門市', '03-318-5272', 'N')
('132', '林口門市', '03-327-7817', 'Y')
('133', '宏達電門市', '(03)376-3353', 'N')
('134', '六家門市', '03-611-9866', 'N')
('135', '台元門市', '(03)560-0516', 'N')
('136', '園區門市', '03-666-2818', 'N')
('137', '中正門市', '03-525-0455', 'Y')
('138', '介壽門市', '03-666-7446', 'Y')
('139', '台積電門市', '03-567-0925', 'N')
('140', '竹達門市', '03-579-4060', 'N')
('141', '西大門市', '03-527-7126', 'Y')
('142', '東門門市', '(03)524-4236', 'Y')
('143', '研新門市', '(03)05785-032', 'N')
('144', '清大門市', '03-573-0815', 'Y')
('145', '竹北門市', '(03)558-8951', 'Y')
('146', '烏日門市', '(04)3601-7906', 'N')
('147', '豐原門市', '04-2527-5388', 'Y')
('148', '三越一店門市', '04-2259-8755', '')
('149', '大英門市', '(04) 2327-3525', 'N')
('150', '中友門市', '04-2223-5596', 'Y')
('151', '中港門市', '04-2319-8566', 'Y')
('152', '中榮門市', '04-2355-3472', 'Y')
('153', '中醫門市', '04-22070992', 'Y')
('154', '五權門市', '04-2378-3360', 'N')
('155', '公益門市', '04-2319-3160', 'Y')
('156', '虎城門市', '04-2253-7438', 'Y')
('157', '崇漢門市', '04-2238-7463', 'N')
('158', '德安門市', '04-2220-8778', 'Y')
('159', '崇德門市', '04-2422-3751', 'N')
('160', '新國門市', '(04)2252-2475', 'N')
('161', '新廣三門市', '', 'N')
('162', '墩業門市', '04-2310-6867', 'Y')
('163', '南屯門市', '04-2475-8151', 'Y')
('164', '福康門市', '04-2463-4658', 'Y')
('165', '櫻花門市', '(04)2315-0235', 'Y')
('166', '彰基門市', '04-723-9296', 'Y')
('167', '嘉基門市', '05-274-1465', '')
('168', '垂楊門市', '05-283-2501', 'Y')
('169', '阿里山門市', '05-267-9691', 'N')
('170', '耐斯門市', '05-278-9265', 'N')
('171', '府中門市', '06-228-5466', '')
('172', '南遠門市', '06-2751157', 'N')
('173', '長榮門市', '06-200-5550', 'Y')
('174', '府榮門市', '(06) 200-4907', '')
('175', '永福門市', '06-303-1145', 'N')
('176', '永華門市', '06-297-9508', 'Y')
('177', '台南門市', '06-211-3708', 'Y')
('178', '公園門市', '06-220-4906', 'Y')
('179', '南科門市', '06-505-3839', '')
('180', '南台門市', '06-242-1496', 'N')
('181', '永康門市', '06-311-3148', 'Y')
('182', '仁德南、北門市', '(06) 278-3426', '')
('183', '東山門市', '06-623-4610', 'Y')
('184', '時代2門市', '07-823-2611', '')
('185', '廣林門市', '07-227-1360', 'Y')
('186', '長庚門市', '07-732-0120', 'N')
('187', '十全門市', '07-311-6738', 'Y')
('188', '三多門市', '07-338-4586', 'Y')
('189', '大順門市', '07-954-5676', 'Y')
('190', '五福門市', '07-261-0355', 'Y')
('191', '明誠門市', '07-359-3601', 'Y')
('192', '青年門市', '07-330-4369', '')
('193', '建國門市', '07-225-5706', 'Y')
('194', '高榮門市', '07-359-6155', 'Y')
('195', '高遠門市', '07-536-0501', 'Y')
('196', '高鐵門市', '07-235-8180', 'Y')
('197', '愛河門市', '07-282-3036', 'N')
('198', '裕誠門市', '07-558-4770', 'Y')
('199', '夢時代門市', '07-823-3009', '')
('200', '左營門市', '(07)862-0622', 'N')
('201', '墾丁門市', '08-886-2988', 'Y')
('202', '屏東門市', '08-734-5833', 'Y')
('203', '海生館門市', '08-882-5157', '')
('204', '台東門市', '089-346-563', 'N')
('205', '花蓮門市', '038-343-243', 'Y')
('206', '傳藝門市', '03-950-8007', 'N')
('207', '宜蘭門市', '(03) 931-0158', 'N')
('208', '清境門市', '049-280-3798', 'Y')
('209', '日月潭門市', '049-285-6849', 'Y')
('210', '馬公門市', '06-927-3459', 'Y')
